"ID","Item","Company","Quantity","Target FG Warehouse","Currency","Conversion Rate","Process Plan No","Item UOM","Is Active","Is Default","Allow Alternative Item","Set rate of sub-assembly item based on BOM","Project","Image","Rate Of Materials Based On","Price List","Price List Currency","Price List Exchange Rate","With Operations","Transfer Material Against","Routing","Finished Goods based Operating Cost","Operating Cost Per BOM Quantity","% Process Loss","Process Loss Qty","Operating Cost","Raw Material Cost","Scrap Material Cost","Operating Cost (Company Currency)","Raw Material Cost (Company Currency)","Scrap Material Cost(Company Currency)","Total Cost","Total Cost (Company Currency)","Item Name","Item Description","Has Variants","Quality Inspection Required","Quality Inspection Template","Show in Website","Route","Website Image","Thumbnail","Show Items","Show Operations","Website Description","BOM Creator","BOM Creator Item","Amended From","ID (Items)","Item Code (Items)","Qty (Items)","Rate (Items)","UOM (Items)","Allow Alternative Item (Items)","Amount (Items)","Amount (Company Currency) (Items)","Basic Rate (Company Currency) (Items)","BOM No (Items)","Conversion Factor (Items)","Do Not Explode (Items)","Has Variants (Items)","Image (Items)","Include Item In Manufacturing (Items)","Is Stock Item (Items)","Item Description (Items)","Item Name (Items)","Item operation (Items)","Original Item (Items)","Process Plan No (Items)","Qty Consumed Per Unit (Items)","Source Warehouse (Items)","Sourced by Supplier (Items)","Stock Qty (Items)","Stock UOM (Items)","ID (Operations)","Base Cost Per Unit (Operations)","Base Hour Rate(Company Currency) (Operations)","Batch Size (Operations)","Cost Per Unit (Operations)","Description (Operations)","Fixed Time (Operations)","Hour Rate (Operations)","Image (Operations)","Operating Cost (Operations)","Operating Cost(Company Currency) (Operations)","Operation (Operations)","Operation Time (Operations)","Process Plan No (Operations)","Quality Inspection Template (Operations)","Sequence ID (Operations)","Set Operating Cost Based On BOM Quantity (Operations)","Workstation (Operations)","Workstation Type (Operations)","ID (Scrap Items)","Amount (Scrap Items)","Basic Amount (Company Currency) (Scrap Items)","Basic Rate (Company Currency) (Scrap Items)","Item Code (Scrap Items)","Item Name (Scrap Items)","Qty (Scrap Items)","Rate (Scrap Items)","Stock UOM (Scrap Items)","ID (Exploded Items)","Amount (Exploded Items)","Description (Exploded Items)","Image (Exploded Items)","Include Item In Manufacturing (Exploded Items)","Item Code (Exploded Items)","Item Name (Exploded Items)","Operation (Exploded Items)","Qty Consumed Per Unit (Exploded Items)","Rate (Exploded Items)","Source Warehouse (Exploded Items)","Sourced by Supplier (Exploded Items)","Stock Qty (Exploded Items)","Stock UOM (Exploded Items)"
"BOM-R215 RAD Top Tank Sub Assy-001","R215 RAD Top Tank Sub Assy","Teksons Pvt Ltd",1.0,"","INR",1.0,"AL-PP-0398R-H11","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,8.97,0.0,0.0,8.97,0.0,8.97,8.97,"R215 RAD Top Tank Sub Assy","RAD Top Tank Sub Assy",0,0,"",0,"bom-r215-rad-top-tank-sub-assy-001","","",0,1,"","","","","g04tpnigsh","Tank End Plate 97*62*5",2.0,0.166666667,"Nos",0,0.34,0.34,0.166666667,"BOM-Tank End Plate 97*62*5-001",1.0,0,0,"",1,1,"Tank End Plate 97*62*5","Tank End Plate 97*62*5","","","",2.0,"",0,2.0,"Nos","g041o1s34d",0.0,0.0,1.0,0.0,"Tank Assembly",0,0.0,"",0.0,0.0,"Tank Assembly",1.0,"","",1,0,"","Mig Welding","","","","","","","","","","g14utarta6",0.18,"Aluminium Pipe 48.6*5MM Thk","",1,"Aluminium Pipe 48.6*5MM Thk","Aluminium Pipe 48.6*5MM Thk","",0.18,1.0,"",0,0.18,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","g04r5tf78q","Filler Neck 14PSI",1.0,1.0,"Nos",0,1.0,1.0,1.0,"",1.0,0,0,"",1,1,"Filler Neck 14PSI","Filler Neck 14PSI","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","g14miq0b9s",2.45,"Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","",1,"Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","",2.45,1.0,"",0,2.45,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","g04nn86gl7","Filler Neck Over Flow Pipe",1.0,1.0,"Nos",0,1.0,1.0,1.0,"",1.0,0,0,"",1,1,"Filler Neck Over Flow Pipe","Filler Neck Over Flow Pipe","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","g14ph55k2i",1.0,"Filler Neck 14PSI","",1,"Filler Neck 14PSI","Filler Neck 14PSI","",1.0,1.0,"",0,1.0,"Nos"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","g04k6mjcjk","R215 RAD Inlet and Outlet Pipe",1.0,0.18,"Nos",0,0.18,0.18,0.18,"BOM-RAD Inlet and Outlet Pipe-001",1.0,0,0,"",1,1,"RAD Inlet and Outlet Pipe","RAD Inlet and Outlet Pipe","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","g1401qefp0",1.0,"Filler Neck Over Flow Pipe","",1,"Filler Neck Over Flow Pipe","Filler Neck Over Flow Pipe","",1.0,1.0,"",0,1.0,"Nos"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","g04p9m4j8u","R215 RAD Top Tank",1.0,6.45,"Nos",0,6.45,6.45,6.45,"BOM-RAD Top Tank-001",1.0,0,0,"",1,1,"RAD Top Tank","RAD Top Tank","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","g14ag48tio",4.0,"Helicoil Insert","",1,"Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert","",4.0,1.0,"",0,4.0,"Nos"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","g14odheqhs",0.333333333,"Tank end plate for Extrusion no 0253OC-ALU-2-0005","",1,"Tank End Plate 70*5*595","Tank End Plate 70*5*595","",0.333333333,1.0,"",0,0.333333333,"Nos"
"BOM-OC Inlet & Outlet Block 101X66X30-001","OC Inlet & Outlet Block 101X66X30","Teksons Pvt Ltd",1.0,"","INR",1.0,"AL-PP-COMM-L005","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,4.49,0.0,0.0,4.49,0.0,4.49,4.49,"OC Inlet & Outlet Block 101X66X30","R215 O.C. Inlet &amp; Outlet Block 101X66X33",0,0,"",0,"bom-oc-inlet-&-outlet-block-101x66x30-001","","",0,1,"","","","","g5v6edfbki","Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )",0.487,1.0,"Kg",0,0.49,0.49,1.0,"",1.0,0,0,"",1,1,"Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )","Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )","","","",0.487,"",0,0.487,"Kg","g5vhn1shbg",0.0,0.0,1.0,0.0,"Size Cutting",0,0.0,"",0.0,0.0,"Size Cutting",1.0,"","",1,0,"","Accurate Cutting","","","","","","","","","","g7cadkvpp2",0.487,"Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )","",1,"Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )","Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )","",0.487,1.0,"",0,0.487,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","g5vqc1p8qs","Helicoil Insert M10 X 1.5 X 15 Mm",4.0,1.0,"Nos",0,4.0,4.0,1.0,"",1.0,0,0,"",1,1,"Helicoil Insert","Helicoil Insert","","","",4.0,"",0,4.0,"Nos","g5vi68df3q",0.0,0.0,1.0,0.0,"Helicoil Inserting",0,0.0,"",0.0,0.0,"Helicoil Insert",1.0,"","",2,0,"","Helicoil & Tapping","","","","","","","","","","g7comb3337",4.0,"Helicoil Insert","",1,"Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert","",4.0,1.0,"",0,4.0,"Nos"
"BOM-R215 OC Top Tank-002","R215 OC Top Tank","Teksons Pvt Ltd",1.0,"","INR",1.0,"AL-PP-0398OC-E04","Nos",1,1,0,1,"","","Valuation Rate","Standard Buying","INR",1.0,1,"Work Order","",0,0.0,0.0,0.0,0.0,9.11,0.0,0.0,9.11,0.0,9.11,9.11,"R215 OC Top Tank","OC Top Tank",0,0,"",0,"bom-r215-oc-top-tank-002","","",0,1,"","","","","cl65jr15ca","Helicoil Insert M10 X 1.5 X 15 Mm",6.0,1.0,"Nos",0,6.0,6.0,1.0,"",1.0,0,0,"",1,1,"Helicoil Insert","Helicoil Insert","","","",6.0,"",0,6.0,"Nos","cl6k1i2nsf",0.0,0.0,1.0,0.0,"Helicoil Inserting",0,0.0,"",0.0,0.0,"Helicoil Insert",1.0,"","",1,0,"","Helicoil & Tapping","","","","","","","","","","cn0jp9bgqa",3.11,"Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG","",1,"Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG","Aluminium Extrusion No 0073C-ALU-2-0008 70(H)*113(W)*7.5(T)*377LG","",3.11,1.0,"",0,3.11,"Kg"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cl6umqimk2","R215 OC Top & Bottom Tank 70x113x7.5x377LG",1.0,3.11,"Nos",0,3.11,3.11,3.11,"BOM-R215 OC Top & Bottom Tank 70x113x7.5x377LG-001",1.0,0,0,"",1,1,"OC Top &amp; Bottom Tank","R215 OC Top & Bottom Tank 70x113x7.5x377LG","","","",1.0,"",0,1.0,"Nos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cn0msr1ks3",6.0,"Helicoil Insert","",1,"Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert","",6.0,1.0,"",0,6.0,"Nos"
