ID,Item,Company,Quantity,Target FG Warehouse,Currency,Conversion Rate,Show Operations,Transfer Material Against,With Operations,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items),Include Item In Manufacturing (Items),Stock Qty (Items),Stock UOM (Items),Conversion Factor (Items),BOM No (Items),Do Not Explode (Items),Source Warehouse (Items),ID (Operations),Operation (Operations),Operation Time (Operations),Workstation (Operations),Workstation Type (Operations)
BOM-R215 RAD Top Tank Sub Assy-001,R215 RAD Top Tank Sub Assy,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Tank End Plate 97*62*5,2,0.166666667,Nos,1,2,Nos,1,BOM-Tank End Plate 97*62*5-001,0,,,Tank Assembly,1,,Mig Welding
,,,,,,,,,,,Filler Neck 14PSI,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,Filler Neck Over Flow Pipe,1,1,Nos,1,1,Nos,1,,0,BOF Stores – TPL,,,,,
,,,,,,,,,,,R215 RAD Inlet and Outlet Pipe,1,0.18,Nos,1,1,Nos,1,BOM-R215 RAD Inlet and Outlet Pipe-001,0,,,,,,
,,,,,,,,,,,R215 RAD Top Tank,1,6.45,Nos,1,1,Nos,1,BOM-R215 RAD Top Tank-001,0,,,,,,
BOM-OC Inlet & Outlet Block 101X66X30-001,OC Inlet & Outlet Block 101X66X30,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 ),0.487,1,Kg,1,0.487,Kg,1,,0,Raw Materials Stores – TPL,,Size Cutting,1,,Accurate Cutting
,,,,,,,,,,,Helicoil Insert M10 X 1.5 X 15 Mm,4,1,Nos,1,4,Nos,1,,0,BOF Stores – TPL,,Helicoil Insert,1,,Helicoil & Tapping
BOM-R215 OC Top Tank-001,R215 OC Top Tank,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Helicoil Insert M10 X 1.5 X 15 Mm,6,1,Nos,1,6,Nos,1,,0,BOF Stores – TPL,,Helicoil Insert,1,,Helicoil & Tapping
,,,,,,,,,,,R215 OC Top & Bottom Tank 70x113x7.5x377LG,1,3.11,Nos,1,1,Nos,1,BOM-R215 OC Top & Bottom Tank 70x113x7.5x377LG-001,0,,,,,,
BOM-R215 OC Bottom Tank-001,R215 OC Bottom Tank,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 OC Top & Bottom Tank 70x113x7.5x377LG,1,3.11,Nos,1,1,Nos,1,BOM-R215 OC Top & Bottom Tank 70x113x7.5x377LG-001,0,,,Helicoil Insert,1,,Helicoil & Tapping
,,,,,,,,,,,Helicoil Insert M10 X 1.5 X 15 Mm,6,1,Nos,1,6,Nos,1,,0,BOF Stores – TPL,,,,,
BOM-Spacer Bar 10x15x110-001,Spacer Bar 10x15x110,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,0,Work Order,1,,"Spacer Bar 10 X 15 X 2115, Imported",0.045,1,Kg,1,0.045,Kg,1,,0,Raw Materials Stores – TPL,,Bar Cutting,1,,Aluminium Bar Cutting
BOM-R215 RAD Top and Bottom Tank-001,R215 RAD Top and Bottom Tank,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG,1,2.45,Nos,1,2.45,Kg,2.45,,0,Raw Materials Stores – TPL,,Size Cutting,1,,Accurate Cutting
BOM-R215 RAD Bottom Tank Sub Assy-001,R215 RAD Bottom Tank Sub Assy,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 RAD Bottom Tank,1,6.45,Nos,1,1,Nos,1,BOM-R215 RAD Bottom Tank-001,0,,,Tank Assembly,1,,Mig Welding
,,,,,,,,,,,R215 RAD Inlet and Outlet Pipe,1,0.18,Nos,1,1,Nos,1,BOM-R215 RAD Inlet and Outlet Pipe-001,0,,,,,,
,,,,,,,,,,,Tank End Plate 97*62*5,2,0.166666667,Nos,1,2,Nos,1,BOM-Tank End Plate 97*62*5-001,0,,,,,,
BOM-R215 RAD Bottom Tank-001,R215 RAD Bottom Tank,Teksons Pvt Ltd,1,WIP-Ralu Weld - TPL,INR,1,1,Work Order,1,,R215 RAD Top and Bottom Tank,1,2.45,Nos,1,1,Nos,1,BOM-R215 RAD Top and Bottom Tank-001,0,,,Helicoil Insert,1,,Helicoil & Tapping
,,,,,,,,,,,Helicoil Insert M10 X 1.5 X 15 Mm,4,1,Nos,1,4,Nos,1,,0,BOF Stores – TPL,,,,,
BOM-Tank End Plate 97*62*5-001,Tank End Plate 97*62*5,Teksons Pvt Ltd,6,WIP-Ralu Weld - TPL,INR,1,0,Work Order,1,,Tank End Plate 70*5*595,1,1,Nos,1,1,Nos,1,,0,Raw Materials Stores – TPL,,Blanking,1,,"Corner Cutting, Punching, Folding and Blanking"
BOM-R215 RAD Core End Plate2.5X110X1021-001,R215 RAD Core End Plate2.5X110X1021,Teksons Pvt Ltd,1,WIP-Ralu In - TPL,INR,1,0,Work Order,1,,R215 OC and RAD Core End Plate2.5X110X1021,1,0.77,Nos,1,1,Nos,1,BOM-R215 OC and RAD Core End Plate2.5X110X1021-001,0,,,Sr. No. Punching,1,,Sr. No. Punching
