"ID","Item","Company","Quantity","Target FG Warehouse","With Operations","Item Code (Items)","Qty (Items)","UOM (Items)","Conversion Factor (Items)","Source Warehouse (Items)","Item operation (Items)","Stock UOM (Items)","Operation (Operations)","Operation Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"BOM-R215 Top Cover Assembly-001","R215 Top Cover Assembly","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"R215 Top Cover Assembly",1.0,"Nos",1.0,"BOF Stores - TPL","Painting","Nos","Painting",1.0,"","RA Painting"
"BOM-R215 Ms Plate-2 (144X22X1.5)-001","R215 Ms Plate-2 (144X22X1.5)","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"MS - 1.5 MM Thk",0.037,"Kg",1.0,"Raw Material Stores - TPL","Shearing","Kg","Shearing",1.0,"","Shearing Machine"
"","","","","","","HEX Nut M8*1.25P",1.0,"Nos",1.0,"BOF Stores - TPL","Shearing","Nos","Punching",1.0,"","Corner Cutting, Punching, Folding and Blanking"
"BOM-R215 Ms Plate-1(102X22X1.5)-001","R215 Ms Plate-1(102X22X1.5)","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"MS - 1.5MM Thk",0.026,"Kg",1.0,"Raw Material Stores - TPL","Shearing","Kg","Shearing",1.0,"","Shearing Machine"
"","","","","","","HEX Nut M8*1.25P",1.0,"Nos",1.0,"BOF Stores - TPL","Shearing","Nos","Punching",1.0,"","Corner Cutting, Punching, Folding and Blanking"
"BOM-Tank End Plate 97*62*5-001","Tank End Plate 97*62*5","Teksons Pvt Ltd",6.0,"WIP-Ralu Weld - TPL",1,"Tank End Plate 70*5*595",1.0,"Nos",1.0,"Raw Material Stores - TPL","Blanking","Nos","Blanking",1.0,"","Corner Cutting, Punching, Folding and Blanking"
"BOM-R215 Bottom Cover Assembly-001","R215 Bottom Cover Assembly","Teksons Pvt Ltd",1.0,"WIP-RA - TPL",1,"R215 Bottom Cover Assembly",1.0,"Nos",1.0,"Raw Material Stores - TPL","Painting","Nos","Painting",1.0,"","RA Painting"
"BOM-R215 Bottom Flyscreen Assembly-001","R215 Bottom Flyscreen Assembly","Teksons Pvt Ltd",1.0,"WIP-RA - TPL",1,"R215 Bottom Flyscreen Wire Mash 903X475",1.0,"Nos",1.0,"WIP-RA - TPL","Assembly","Nos","Assembly",1.0,"","RA Assembly"
"","","","","","","U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T)",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","Painting",1.0,"","RA Painting"
"","","","","","","U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T)",2.0,"Nos",1.0,"BOF Stores - TPL","Assembly","Nos","","","",""
"","","","","","","R215 Bottom Flyscreen Center Plate 453X10X2",2.0,"Nos",1.0,"WIP-RA - TPL","Assembly","Nos","","","",""
"","","","","","","R215 Top and Bottom Flyscreen Mounting Plate 35X30X2",4.0,"Nos",1.0,"WIP-RA - TPL","Assembly","Nos","","","",""
"BOM-R215 Bottom Flyscreen Center Plate 453X10X2-001","R215 Bottom Flyscreen Center Plate 453X10X2","Teksons Pvt Ltd",1.0,"WIP-RA - TPL",1,"MS - 2MM Thk",0.071,"Kg",1.0,"Raw Material Stores - TPL","Shearing","Kg","Shearing",1.0,"","Shearing Machine"
"BOM-R215 Bottom Flyscreen Wire Mash 903X475-001","R215 Bottom Flyscreen Wire Mash 903X475","Teksons Pvt Ltd",1.0,"WIP-RA - TPL",1,"MS",0.282,"Kg",1.0,"Raw Material Stores - TPL","Rolling & Cutting","Kg","Rolling & Cutting",1.0,"","Manual Rolling and Cutting"
"BOM-R215 CAC Core End Plate 2.5X110X941-001","R215 CAC Core End Plate 2.5X110X941","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Sheet 2.5MM Thk Without Cladded",0.706,"Kg",1.0,"Raw Material Stores - TPL","Shearing","Kg","Shearing",1.0,"","Shearing Machine"
"BOM-R215 CAC Core End Plate 5X140X941-001","R215 CAC Core End Plate 5X140X941","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"R215 CAC Core End Plate 5X165X941",1.0,"Nos",1.0,"WIP-Ralu In - TPL","Folding","Nos","Folding",1.0,"","Folding"
"","","","","","","","","","","","","","Sr. No. Punching",1.0,"","Sr. No. Punching"
"BOM-R215 CAC Core End Plate 5X165X941-001","R215 CAC Core End Plate 5X165X941","Teksons Pvt Ltd",1.0,"WIP-Ralu In - TPL",1,"Aluminium Sheet 5MM Thk",2.12,"Kg",1.0,"Raw Material Stores - TPL","Shearing","Kg","Shearing",1.0,"","Shearing Machine"
"BOM-R215 CAC Inlet and Outlet Pipe-001","R215 CAC Inlet and Outlet Pipe","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Aluminium Pipe ⌀ 76.0*3MM Thk",0.253,"Kg",1.0,"Raw Material Stores - TPL","Pipe Cutting","Kg","Pipe Cutting",1.0,"","Weld_Manual Cutting"
"BOM-R215 CAC Top and Bottom Tank 110x113x7.5x186LG-001","R215 CAC Top and Bottom Tank 110x113x7.5x186LG","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL",1,"Aluminium Extrusion No 0239C-ALU-2-0001 110(H)*113(W)*7.5(T)*186Kg",1.81,"Kg",1.0,"Raw Material Stores - TPL","Size Cutting","Kg","Size Cutting",1.0,"","Accurate Cutting"
