"ID","Purpose","Item Code (Items)","Quantity (Items)","Required By (Items)","Stock UOM (Items)","UOM (Items)","UOM Conversion Factor (Items)","Target Warehouse (Items)","Source Warehouse (Items)"
"MAT-MR-2026-00007","Purchase","R215 LH – RH Condenser MTG BKT",1.0,"2026-08-09","Set","Set",1.0,"WIP-CNC - TPL",""
"","","Rivets - 4.8 X 12.5",4.0,"2026-08-09","Nos","Nos",1.0,"WIP-CNC - TPL",""
"","","Tank End Plate 70*5*595",1.0,"2026-08-09","Nos","Nos",1.0,"WIP-CNC - TPL",""
"MAT-MR-2026-00006","Material Transfer","0261Oc-Alu-2-004",1.0,"2026-08-09","Nos","Nos",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Coil 0.2*110",5.679,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Coil 0.2×140",0.207,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Coil 0.2×200MM",1.188,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Coil 0.2×250 Thk",0.288,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Coil 0.2×300",2.088,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Coil 0.3*110MM",12.838,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Coil 0.3×250MM",0.39,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Coil 0.3×300MM",2.808,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Coil 0.6*110MM",12.6,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Coil 0.7*110",11.61,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Extruded Bar (ALU-STD-0043)(3*7)",7.434,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Extrusion No 0.0318C-ALU-2-0033 (31*19*25)",1.56,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
"","","Aluminium Extrusion No 0.0318C-ALU-2-0033 (31*19*25)",0.012,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","Raw Material Stores - TPL"
"","","Aluminium Extrusion No 0.0318C-ALU-2-0034 (50*25*150)",1.024,"2026-08-09","Kg","Kg",1.0,"WIP-CNC - TPL","BOF Stores - TPL"
