"ID","Series","Status","Item To Manufacture","BOM No","Company","Qty To Manufacture","Target Warehouse","Planned Start Date","Item Name","Image","Sales Order","Material Transferred for Manufacturing","Manufactured Qty","Disassembled Qty","Process Loss Qty","Project","Allow Alternative Item","Use Multi-Level BOM","Skip Material Transfer to WIP Warehouse","Backflush Raw Materials From Work-in-Progress Warehouse","Update Consumed Material Cost In Project","Source Warehouse","Work-in-Progress Warehouse","Scrap Warehouse","Has Serial No","Has Batch No","Batch Size","Transfer Material Against","Planned End Date","Expected Delivery Date","Actual Start Date","Actual End Date","Lead Time","Planned Operating Cost","Actual Operating Cost","Additional Operating Cost","Corrective Operation Cost","Total Operating Cost","Item Description","Stock UOM","Material Request","Material Request Item","Sales Order Item","Production Plan","Production Plan Item","Production Plan Sub-assembly Item","Product Bundle Item","Amended From","ID (Required Items)","Allow Alternative Item (Required Items)","Amount (Required Items)","Available Qty at Source Warehouse (Required Items)","Available Qty at WIP Warehouse (Required Items)","Consumed Qty (Required Items)","Description (Required Items)","Include Item In Manufacturing (Required Items)","Item Code (Required Items)","Item Name (Required Items)","Operation (Required Items)","Rate (Required Items)","Required Qty (Required Items)","Returned Qty  (Required Items)","Source Warehouse (Required Items)","Stock UOM (Required Items)","Transferred Qty (Required Items)","ID (Operations)","Actual End Time (Operations)","Actual Operating Cost (Operations)","Actual Operation Time (Operations)","Actual Start Time (Operations)","Batch Size (Operations)","BOM (Operations)","Completed Qty (Operations)","Hour Rate (Operations)","Operation (Operations)","Operation Description (Operations)","Planned End Time (Operations)","Planned Operating Cost (Operations)","Planned Start Time (Operations)","Process Loss Qty (Operations)","Sequence ID (Operations)","Status (Operations)","Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"WO/260714/0070","WO/.YY.MM.DD./.####.","Completed","Nut Cover for Condenser Mounting 43*30.3*1","BOM-Nut Cover for Condenser Mounting 43*30.3*1-001","Teksons Pvt Ltd",8.0,"WIP Warehouse - TPL","2026-07-14 00:00:00","Nut Cover for Condenser Mounting 43*30.3*1","","",8.0,8.0,0.0,0.0,"",1,0,0,0,1,"Raw Material Stores - TPL","WIP Warehouse - TPL","Scrap Stores - TPL",0,0,0.0,"Work Order","2026-07-14 00:26:00","","2026-07-16 09:56:05","2026-07-25 14:10:47",13214.7,0.0,0.0,0.0,0.0,0.0,"Nut Cover for Condenser Mounting 43*30.3*1","Nos","","","","PP/2607/29/0001","","suamhmujcu","","","t4tbta4d3v",0,0.08,4.046,0.0,0.08,"MS – 1 MM Thk",1,"MS – 1 MM Thk","MS – 1 MM Thk","",1.0,0.08,0.0,"BOF Stores - TPL","Kg",0.08,"t4taaoe1hf","2026-07-16 09:56:08",0.0,0.04998,"2026-07-16 09:56:05",1.0,"BOM-Nut Cover for Condenser Mounting 43*30.3*1-001",8.0,0.0,"Shearing","Shearing (W) Operation","",0.0,"",0.0,1,"Completed",8.0,"W Department","Accurate Cutting"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","t4t0vuci6m","2026-07-25 14:10:47",0.0,0.01668,"2026-07-25 14:10:46",1.0,"BOM-Nut Cover for Condenser Mounting 43*30.3*1-001",8.0,0.0,"Punching","Punching","",0.0,"",0.0,2,"Completed",8.0,"RP-26_Hydraulic Press","Corner Cutting, Punching, Folding and Blanking"
"WO/260714/0069","WO/.YY.MM.DD./.####.","Completed","R215 Top Flyscreen Covering Plate 910X30X1","BOM-R215 Top Flyscreen Covering Plate 910X30X1-001","Teksons Pvt Ltd",4.0,"WIP Warehouse - TPL","2026-07-14 00:00:00","R215 Top Flyscreen Covering Plate 910X30X1","","",4.0,4.0,0.0,0.0,"",1,0,0,0,1,"Raw Material Stores - TPL","WIP Warehouse - TPL","Scrap Stores - TPL",0,0,0.0,"Work Order","2026-07-14 00:04:00","","2026-07-16 09:55:51","2026-07-16 09:55:53",0.03336,0.0,0.0,0.0,0.0,0.0,"R215 Top Flyscreen Covering Plate 910X30X1","Nos","","","","PP/2607/29/0001","","suak9vmskd","","","t4t07qtq74",0,0.856,4.046,0.0,0.856,"MS – 1 MM Thk",1,"MS – 1 MM Thk","MS – 1 MM Thk","Shearing",1.0,0.856,0.0,"BOF Stores - TPL","Kg",0.856,"t4t6u213th","2026-07-16 09:55:53",0.0,0.03336,"2026-07-16 09:55:51",1.0,"BOM-R215 Top Flyscreen Covering Plate 910X30X1-001",4.0,0.0,"Shearing","Shearing (W) Operation","",0.0,"",0.0,1,"Completed",4.0,"W01_Shearing Machine","Shearing Machine"
"WO/260714/0068","WO/.YY.MM.DD./.####.","Completed","R215 Top Flyscreen Wire Mash 903X554","BOM-R215 Top Flyscreen Wire Mash 903X554-001","Teksons Pvt Ltd",4.0,"WIP Warehouse - TPL","2026-07-14 00:00:00","R215 Top Flyscreen Wire Mesh 903X554","","",4.0,4.0,0.0,0.0,"",1,0,0,0,1,"Raw Material Stores - TPL","WIP Warehouse - TPL","Scrap Stores - TPL",0,0,0.0,"Work Order","2026-07-14 00:04:00","","2026-07-25 13:55:52","2026-07-25 13:55:54",0.03336,0.0,0.0,0.0,0.0,0.0,"R215 Top Flyscreen Wire Mash 903X554","Nos","","","","PP/2607/29/0001","","sua2o8d986","","","t4s8556fp6",0,1.32,12.588,0.0,1.32,"MS",1,"MS","MS","Rolling & Cutting",1.0,1.32,0.0,"BOF Stores - TPL","Kg",1.32,"t4sig309rg","2026-07-25 13:55:54",0.0,0.03336,"2026-07-25 13:55:52",1.0,"BOM-R215 Top Flyscreen Wire Mash 903X554-001",4.0,0.0,"Rolling & Cutting","Rolling & Cutting","",0.0,"",0.0,1,"Completed",4.0,"Manual Rolling and Cutting","Manual Rolling and Cutting"
"WO/260714/0067","WO/.YY.MM.DD./.####.","Completed","R215 Top Flyscreen Assembly","BOM-R215 Top Flyscreen Assembly-001","Teksons Pvt Ltd",4.0,"WIP Warehouse - TPL","2026-07-14 00:00:00","R215 Top Flyscreen Assembly","","",4.0,4.0,0.0,0.0,"",1,0,0,0,1,"Raw Material Stores - TPL","WIP Warehouse - TPL","Scrap Stores - TPL",0,0,0.0,"Work Order","2026-07-14 00:18:00","","2026-07-16 21:50:42","2026-07-25 13:56:03",12485.35002,0.0,0.0,0.0,0.0,0.0,"Top Flyscreen Assembly","Nos","","","","PP/2607/29/0001","","sua5sr038c","","","t4s8uvfhtn",0,1.32,0.0,1.0,4.0,"R215 Top Flyscreen Wire Mash 903X554",1,"R215 Top Flyscreen Wire Mash 903X554","R215 Top Flyscreen Wire Mesh 903X554","",0.33,4.0,0.0,"BOF Stores - TPL","Nos",0.0,"t4solvt37o","2026-07-16 21:50:53",0.0,0.15,"2026-07-16 21:50:42",1.0,"BOM-R215 Top Flyscreen Assembly-001",4.0,0.0,"Assembly","Assembly","",0.0,"",0.0,1,"Completed",4.0,"RA-04_Hydraulic","RA Assembly"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","t4sl3nbm7e",0,8.0,76.0,0.0,8.0,"U Piece Angle-1 910(L)*15(W)*7(T)",1,"U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T)","U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T)","",1.0,8.0,0.0,"BOF Stores - TPL","Nos",8.0,"t4s10rcs4r","2026-07-25 13:56:03",0.0,0.03336,"2026-07-25 13:56:01",1.0,"BOM-R215 Top Flyscreen Assembly-001",4.0,0.0,"Painting","Painting","",0.0,"",0.0,2,"Completed",4.0,"Spray Painting","RA Painting"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","t4s8a2sjup",0,8.0,76.0,0.0,8.0,"U Piece Angle-2 529(W)*15(H)*7(T)",1,"U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T)","U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T)","",1.0,8.0,0.0,"BOF Stores - TPL","Nos",8.0,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","t4seqrd77f",0,0.32,0.0,8.0,16.0,"Top &amp; Bottom Flyscreen Mtg Plate 35X30X2",1,"R215 Top and Bottom Flyscreen Mounting Plate 35X30X2","R215 Top and Bottom Flyscreen Mounting Plate 35X30X2","",0.02,16.0,0.0,"BOF Stores - TPL","Nos",0.0,"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","t4sde12ke4",0,0.84,0.0,1.0,4.0,"R215 Top Flyscreen Covering Plate 910X30X1",1,"R215 Top Flyscreen Covering Plate 910X30X1","R215 Top Flyscreen Covering Plate 910X30X1","",0.21,4.0,0.0,"BOF Stores - TPL","Nos",0.0,"","","","","","","","","","","","","","","","","","","",""
"WO/260714/0066","WO/.YY.MM.DD./.####.","Completed","R215 Top Cover Assembly","BOM-R215 Top Cover Assembly-001","Teksons Pvt Ltd",4.0,"WIP Warehouse - TPL","2026-07-14 00:00:00","R215 Top Cover Assembly","","",4.0,4.0,0.0,0.0,"",1,0,0,0,1,"Raw Material Stores - TPL","WIP Warehouse - TPL","Scrap Stores - TPL",0,0,0.0,"Work Order","2026-07-14 00:04:00","","2026-07-25 13:55:43","2026-07-25 13:55:45",0.03336,0.0,0.0,0.0,0.0,0.0,"R215 Top Cover Assy","Nos","","","","PP/2607/29/0001","","suaqd7prl2","","","t4sfv6dave",0,4.0,19.0,1.0,4.0,"R215 Top Cover Assy",1,"R215 Top Cover Assembly","R215 Top Cover Assembly","Painting",1.0,4.0,0.0,"BOF Stores - TPL","Nos",4.0,"t4sk8qdb9n","2026-07-25 13:55:45",0.0,0.03336,"2026-07-25 13:55:43",1.0,"BOM-R215 Top Cover Assembly-001",4.0,0.0,"Painting","Painting","",0.0,"",0.0,1,"Completed",4.0,"Spray Painting","RA Painting"
