"ID","Series","Status","Item To Manufacture","BOM No","Company","Qty To Manufacture","Target Warehouse","Planned Start Date","Item Code (Required Items)","Operation (Required Items)","Required Qty (Required Items)","Source Warehouse (Required Items)","Workstation (Operations)","Workstation Type (Operations)","Sequence ID (Operations)","Operation (Operations)"
"WO/260808/0304","WO/.YY.MM.DD./.####.","Draft","Nut Cover for Condenser Mounting 43*30.3*1","BOM-Nut Cover for Condenser Mounting 43*30.3*1-001","Teksons Pvt Ltd",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","MS - 1 MM Thk","Shearing",0.02,"Raw Material Stores - TPL","","Accurate Cutting",1,"Shearing"
"","","","","","","","","","","","","","","Corner Cutting, Punching, Folding and Blanking",2,"Punching"
"WO/260808/0303","WO/.YY.MM.DD./.####.","Draft","R215 Top Flyscreen Covering Plate 910X30X1","BOM-R215 Top Flyscreen Covering Plate 910X30X1-001","Teksons Pvt Ltd",1.0,"WIP-RA - TPL","2026-08-08 00:00:00","MS - 1 MM Thk","Shearing",0.214,"Raw Material Stores - TPL","","Shearing Machine",1,"Shearing"
"WO/260808/0302","WO/.YY.MM.DD./.####.","Draft","R215 Top Flyscreen Wire Mash 903X554","BOM-R215 Top Flyscreen Wire Mash 903X554-001","Teksons Pvt Ltd",1.0,"WIP-RA - TPL","2026-08-08 00:00:00","MS","Rolling & Cutting",0.33,"Raw Material Stores - TPL","","Manual Rolling and Cutting",1,"Rolling & Cutting"
"WO/260808/0301","WO/.YY.MM.DD./.####.","Draft","R215 Top Flyscreen Assembly","BOM-R215 Top Flyscreen Assembly-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 Top Flyscreen Wire Mash 903X554","Assembly",1.0,"WIP-RP - TPL","","RA Assembly",1,"Assembly"
"","","","","","","","","","U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T)","Assembly",2.0,"BOF Stores - TPL","","RA Painting",2,"Painting"
"","","","","","","","","","U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T)","Assembly",2.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","R215 Top and Bottom Flyscreen Mounting Plate 35X30X2","Assembly",4.0,"WIP-RP - TPL","","","",""
"","","","","","","","","","R215 Top Flyscreen Covering Plate 910X30X1","Assembly",1.0,"WIP-W - TPL","","","",""
"WO/260808/0300","WO/.YY.MM.DD./.####.","Draft","R215 Top Cover Assembly","BOM-R215 Top Cover Assembly-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 Top Cover Assembly","Painting",1.0,"BOF Stores - TPL","","RA Painting",1,"Painting"
"WO/260808/0299","WO/.YY.MM.DD./.####.","Draft","R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3","BOM-R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Aluminium Pipe OD⌀10*ID⌀6*17L","Cutting",0.0023,"Raw Material Stores - TPL","","Weld_Manual Cutting",1,"Cutting"
"WO/260808/0298","WO/.YY.MM.DD./.####.","Draft","R215 RAD Top Tank","BOM-R215 RAD Top Tank-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",4.0,"BOF Stores - TPL","","Helicoil & Tapping",1,"Helicoil Insert"
"","","","","","","","","","R215 RAD Top and Bottom Tank","Helicoil Insert",1.0,"WIP-CNC - TPL","","","",""
"WO/260808/0297","WO/.YY.MM.DD./.####.","Draft","R215 RAD Top Tank Sub Assy","BOM-R215 RAD Top Tank Sub Assy-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Tank End Plate 97*62*5","Tank Assembly",2.0,"WIP-RP - TPL","","Mig Welding",1,"Tank Assembly"
"","","","","","","","","","Filler Neck 14PSI","Tank Assembly",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","Filler Neck Over Flow Pipe","Tank Assembly",1.0,"BOF Stores - TPL","","","",""
"","","","","","","","","","R215 RAD Inlet and Outlet Pipe","Tank Assembly",1.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","R215 RAD Top Tank","Tank Assembly",1.0,"WIP-Ralu Weld - TPL","","","",""
"WO/260808/0296","WO/.YY.MM.DD./.####.","Draft","Tank End Plate 97*62*5","BOM-Tank End Plate 97*62*5-001","Teksons Pvt Ltd",4.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Tank End Plate 70*5*595","Blanking",0.666666667,"Raw Material Stores - TPL","","Corner Cutting, Punching, Folding and Blanking",1,"Blanking"
"WO/260808/0295","WO/.YY.MM.DD./.####.","Draft","R215 RAD Inlet and Outlet Pipe","BOM-R215 RAD Inlet and Outlet Pipe-001","Teksons Pvt Ltd",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Aluminium Pipe 48.6*5MM Thk","Cutting",0.36,"Raw Material Stores - TPL","","Weld_Manual Cutting",1,"Cutting"
"WO/260808/0294","WO/.YY.MM.DD./.####.","Draft","R215 RAD Top and Bottom Tank","BOM-R215 RAD Top and Bottom Tank-001","Teksons Pvt Ltd",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG","Size Cutting",4.9,"Raw Material Stores - TPL","","Accurate Cutting",1,"Size Cutting"
"WO/260808/0293","WO/.YY.MM.DD./.####.","Draft","R215 RAD Bottom Tank","BOM-R215 RAD Bottom Tank-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 RAD Top and Bottom Tank","Helicoil Insert",1.0,"WIP-CNC - TPL","","Helicoil & Tapping",1,"Helicoil Insert"
"","","","","","","","","","Helicoil Insert M10 X 1.5 X 15 Mm","Helicoil Insert",4.0,"BOF Stores - TPL","","","",""
"WO/260808/0292","WO/.YY.MM.DD./.####.","Draft","R215 RAD Bottom Tank Sub Assy","BOM-R215 RAD Bottom Tank Sub Assy-001","Teksons Pvt Ltd",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","R215 RAD Bottom Tank","Tank Assembly",1.0,"WIP-Ralu Weld - TPL","","Mig Welding",1,"Tank Assembly"
"","","","","","","","","","R215 RAD Inlet and Outlet Pipe","Tank Assembly",1.0,"WIP-Ralu Weld - TPL","","","",""
"","","","","","","","","","Tank End Plate 97*62*5","Tank Assembly",2.0,"WIP-RP - TPL","","","",""
"WO/260808/0291","WO/.YY.MM.DD./.####.","Draft","Turbulator 0.2*300*96.0","BOM-Turbulator 0.2*300*96.0-001","Teksons Pvt Ltd",72.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.2×300","Turbu Forming",2.088,"Raw Material Stores - TPL","","Turbulator Forming and Cutting",1,"Turbu Forming"
"WO/260808/0290","WO/.YY.MM.DD./.####.","Draft","Turbulator 0.2*250*96.0","BOM-Turbulator 0.2*250*96.0-001","Teksons Pvt Ltd",12.0,"WIP-Ralu In - TPL","2026-08-08 00:00:00","Aluminium Coil 0.2×250 Thk","Turbu Forming",0.288,"Raw Material Stores - TPL","","Turbulator Forming and Cutting",1,"Turbu Forming"
