"ID","Status","Item To Manufacture","BOM No","Qty To Manufacture","Target Warehouse","Planned Start Date","Stock UOM","Item Code (Required Items)","Operation (Required Items)","Required Qty (Required Items)","Stock UOM (Required Items)","Operation (Operations)","Sequence ID (Operations)","Planned Start Time (Operations)","Workstation (Operations)","Workstation Type (Operations)"
"WO/260808/0497","In Process","Nut Cover for Condenser Mounting 43*30.3*1","BOM-Nut Cover for Condenser Mounting 43*30.3*1-001",2.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","MS - 1 MM Thk","Shearing",0.02,"Kg","Shearing",1,"","","Accurate Cutting"
"","","","","","","","","","","","","Punching",2,"","","Corner Cutting, Punching, Folding and Blanking"
"WO/260808/0496","In Process","R215 Top Flyscreen Covering Plate 910X30X1","BOM-R215 Top Flyscreen Covering Plate 910X30X1-001",1.0,"WIP-RA - TPL","2026-08-08 00:00:00","Nos","MS - 1 MM Thk","Shearing",0.214,"Kg","Shearing",1,"","","Shearing Machine"
"WO/260808/0495","In Process","R215 Top Flyscreen Wire Mash 903X554","BOM-R215 Top Flyscreen Wire Mash 903X554-001",1.0,"WIP-RA - TPL","2026-08-08 00:00:00","Nos","MS","Rolling & Cutting",0.33,"Kg","Rolling & Cutting",1,"","","Manual Rolling and Cutting"
"WO/260808/0494","In Process","R215 Top Flyscreen Assembly","BOM-R215 Top Flyscreen Assembly-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 Top Flyscreen Wire Mash 903X554","Assembly",1.0,"Nos","Assembly",1,"","","RA Assembly"
"","","","","","","","","U Piece Angle-1 for Flyscreen - 910(L)*15(W)*7(T)","Assembly",2.0,"Nos","Painting",2,"","","RA Painting"
"","","","","","","","","U Piece Angle-2 for Flyscreen - 529(W)*15(H)*7(T)","Assembly",2.0,"Nos","","","","",""
"","","","","","","","","R215 Top and Bottom Flyscreen Mounting Plate 35X30X2","Assembly",4.0,"Nos","","","","",""
"","","","","","","","","R215 Top Flyscreen Covering Plate 910X30X1","Assembly",1.0,"Nos","","","","",""
"WO/260808/0493","In Process","R215 Top Cover Assembly","BOM-R215 Top Cover Assembly-001",1.0,"WIP-Ralu Weld - TPL","2026-08-08 00:00:00","Nos","R215 Top Cover Assembly","Painting",1.0,"Nos","Painting",1,"","","RA Painting"
