"ID","Posting Date","Total Planned Qty","BOM No (Assembly Items)","Item Code (Assembly Items)","Planned Qty (Assembly Items)","Planned Start Date (Assembly Items)","UOM (Assembly Items)","Sub Assembly Item Code (sub_assembly_items)","Required Qty (sub_assembly_items)","Schedule Date (sub_assembly_items)","Target Warehouse (sub_assembly_items)"
"PP/2608/32/0004","2026-08-08",1.0,"BOM-R215 Combi Cooler-001","R215 Combi Cooler",1.0,"2026-08-08 00:00:00","Nos","R215 CAC",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 CAC Core",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 CAC Core End Plate 2.5X110X941",1.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 CAC Core End Plate 5X140X941",1.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 CAC Core End Plate 5X165X941",1.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 External Fin For CAC 0.2*110*911",6.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 External Fin For CAC 0.3*110*911",4.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","Internal Fin For CAC 0.2*140*90",9.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","Internal Fin For CAC 0.2*200*90",36.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","Spacer Bar 9.5×15×110",124.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 Spacer Bar for CAC 8*10*941",18.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 Tube Sheet For CAC 0.6*110*941",20.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 CAC Top Tank Sub Assy",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001",4.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","Tank End Plate 110×5*595MM",0.666,"2026-08-08 00:00:00","WIP-RP - TPL"
"","","","","","","","","R215 CAC Inlet and Outlet Pipe",2.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 CAC Top Tank",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 CAC Top and Bottom Tank 110x113x7.5x186LG",2.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 CAC Bottom Tank Sub Assy",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 CAC Bottom Tank",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","Stay Block 50X25X150",2.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","Condenser Mounting Block 31X19X25",4.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 Bottom Cover Assembly",1.0,"2026-08-08 00:00:00","WIP-RA - TPL"
"","","","","","","","","R215 Bottom Flyscreen Assembly",1.0,"2026-08-08 00:00:00","WIP-RA - TPL"
"","","","","","","","","R215 Bottom Flyscreen Wire Mash 903X475",1.0,"2026-08-08 00:00:00","WIP-RA - TPL"
"","","","","","","","","R215 Bottom Flyscreen Center Plate 453X10X2",2.0,"2026-08-08 00:00:00","WIP-RA - TPL"
"","","","","","","","","R215 Top and Bottom Flyscreen Mounting Plate 35X30X2",8.0,"2026-08-08 00:00:00","WIP-RA - TPL"
"","","","","","","","","Cage For M8 Sq Nut 182X50X0.5",8.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 Fan Cowl",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 LH – RH Condenser MTG BKT",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 Ms Plate-2 (144X22X1.5)",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 Ms Plate-1(102X22X1.5)",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 OC",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 OC Core",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 OC and RAD Core End Plate2.5X110X1021",3.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","Extruded Bar for OC and RAD 3*7*1021",126.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 Fin For OC 0.3*110*991",33.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 OC Core End Plate 5X140X1021",1.0,"2026-08-08 00:00:00","WIP-RP - TPL"
"","","","","","","","","R215 OC Core End Plate 5X165X1021",1.0,"2026-08-08 00:00:00","WIP-RP - TPL"
"","","","","","","","","R215 OC Tube Sheet 0.7*110*1021",54.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","Turbulator 0.3*250*44.5",26.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","Turbulator 0.3*300*44.5",156.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 OC Bottom Tank Sub Assy",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 OC Bottom Tank",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 OC Top & Bottom Tank 70x113x7.5x377LG",2.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","Tank End Plate 96*62*8 For Extrusion No 0073C-ALU-2-0008",4.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 OC Top Tank Sub Assy",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 OC Top Tank",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","OC Inlet & Outlet Block 101X66X30",2.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 RAD",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 RAD Core",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 RAD Core End Plate2.5X110X1021",2.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 Fin For RAD 0.2*110*991",19.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 RAD Tube Sheet 0.6*110*1021",50.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","Turbulator 0.2*250*96.0",12.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","Turbulator 0.2*300*96.0",72.0,"2026-08-08 00:00:00","WIP-Ralu In - TPL"
"","","","","","","","","R215 RAD Bottom Tank Sub Assy",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 RAD Bottom Tank",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 RAD Top and Bottom Tank",2.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 RAD Inlet and Outlet Pipe",2.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","Tank End Plate 97*62*5",4.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 RAD Top Tank Sub Assy",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 RAD Top Tank",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 Radiator Drain Pipe Od∅10 X 17 Lgx 3",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 Top Cover Assembly",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 Top Flyscreen Assembly",1.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
"","","","","","","","","R215 Top Flyscreen Wire Mash 903X554",1.0,"2026-08-08 00:00:00","WIP-RA - TPL"
"","","","","","","","","R215 Top Flyscreen Covering Plate 910X30X1",1.0,"2026-08-08 00:00:00","WIP-RA - TPL"
"","","","","","","","","Nut Cover for Condenser Mounting 43*30.3*1",2.0,"2026-08-08 00:00:00","WIP-Ralu Weld - TPL"
