Bulk Edit Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcode,Has Item Scanned,Source Warehouse,Target Warehouse,Item Code,Item Name,Is Finished Item,Is Scrap Item,Quality Inspection,Subcontracted Item,Description,Item Group,Image,Qty,Qty as per Stock UOM,Retain Sample,UOM,Stock UOM,Conversion Factor,Sample Quantity,Basic Rate (as per Stock UOM),Additional Cost,Valuation Rate,Allow Zero Valuation Rate,Set Basic Rate Manually,Basic Amount,Amount,Use Serial No / Batch Fields,Serial and Batch Bundle,Serial No,Batch No,Difference Account,Cost Center,Project,Actual Qty (at source/target),Transferred Qty,BOM No,Allow Alternative Item,Material Request,Material Request Item,Pick List Item,Original Item,Against Stock Entry,Stock Entry Child,PO Supplied Item,SCO Supplied Item,Putaway Rule,Reference Purchase Receipt,Job Card Item
barcode,has_item_scanned,s_warehouse,t_warehouse,item_code,item_name,is_finished_item,is_scrap_item,quality_inspection,subcontracted_item,description,item_group,image,qty,transfer_qty,retain_sample,uom,stock_uom,conversion_factor,sample_quantity,basic_rate,additional_cost,valuation_rate,allow_zero_valuation_rate,set_basic_rate_manually,basic_amount,amount,use_serial_batch_fields,serial_and_batch_bundle,serial_no,batch_no,expense_account,cost_center,project,actual_qty,transferred_qty,bom_no,allow_alternative_item,material_request,material_request_item,pick_list_item,original_item,against_stock_entry,ste_detail,po_detail,sco_rm_detail,putaway_rule,reference_purchase_receipt,job_card_item
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,BOM No. for a Finished Good Item , ,Material Request used to make this Stock Entry , , , , , , , , , , 
The CSV format is case sensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do not edit headers which are preset in the template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
------,,,BOF Stores - TPL,R215 LH – RH Condenser MTG BKT,,,,,,,,,200,,,Set,Set,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BOF Stores - TPL,Rivets - 4.8 X 12.5,,,,,,,,,800,,,Nos,Nos,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BOF Stores - TPL,Tank End Plate 70*5*595,,,,,,,,,200,,,Nos,Nos,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BOF Stores - TPL,0261Oc-Alu-2-004,,,,,,,,,200,,,Nos,Nos,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Raw Material Stores - TPL,Aluminium Coil 0.2*110,,,,,,,,,1135.8,,,Kg,Kg,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Raw Material Stores - TPL,Aluminium Coil 0.2×140,,,,,,,,,41.4,,,Kg,Kg,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
