"ID","Series","Stock Entry Type","Company","Stock Entry (Outward GIT)","Source Stock Entry (Manufacture)","Purpose","Add to Transit","Work Order","Purchase Order","Subcontracting Order","Delivery Note No","Sales Invoice No","Pick List","Purchase Receipt No","Asset Repair","Posting Date","Posting Time","Edit Posting Date and Time","Inspection Required","Apply Putaway Rule","From BOM","Use Multi-Level BOM","BOM No","Finished Good Quantity ","% Process Loss","Process Loss Qty","Default Source Warehouse","Source Warehouse Address Link","Source Warehouse Address","Default Target Warehouse","Target Warehouse Address Link","Target Warehouse Address","Scan Barcode","Total Outgoing Value (Consumption)","Total Incoming Value (Receipt)","Total Value Difference (Incoming - Outgoing)","Total Additional Costs","Supplier","Supplier Name","Supplier Address","Address","Project","Cost Center","Print Heading","Letter Head","Is Opening","Remarks","Per Transferred","Total Amount","Job Card","Amended From","Credit Note","Is Return","ID (Items)","Conversion Factor (Items)","Item Code (Items)","Qty (Items)","Stock UOM (Items)","UOM (Items)","Actual Qty (at source/target) (Items)","Additional Cost (Items)","Against Stock Entry (Items)","Allow Alternative Item (Items)","Allow Zero Valuation Rate (Items)","Amount (Items)","Barcode (Items)","Basic Amount (Items)","Basic Rate (as per Stock UOM) (Items)","Batch No (Items)","BOM No (Items)","Cost Center (Items)","Description (Items)","Difference Account (Items)","Has Item Scanned (Items)","Image (Items)","Is Finished Item (Items)","Is Scrap Item (Items)","Item Group (Items)","Item Name (Items)","Job Card Item (Items)","Material Request (Items)","Material Request Item (Items)","Original Item (Items)","PO Supplied Item (Items)","Project (Items)","Putaway Rule (Items)","Qty as per Stock UOM (Items)","Quality Inspection (Items)","Reference Purchase Receipt (Items)","Retain Sample (Items)","Sample Quantity (Items)","SCO Supplied Item (Items)","Serial and Batch Bundle (Items)","Serial No (Items)","Set Basic Rate Manually (Items)","Source Warehouse (Items)","Stock Entry Child (Items)","Subcontracted Item (Items)","Target Warehouse (Items)","Transferred Qty (Items)","Use Serial No / Batch Fields (Items)","Valuation Rate (Items)","ID (Additional Costs)","Account Currency (Additional Costs)","Amount (Additional Costs)","Amount (Company Currency) (Additional Costs)","Description (Additional Costs)","Exchange Rate (Additional Costs)","Expense Account (Additional Costs)","Has Corrective Cost (Additional Costs)","Has Operating Cost (Additional Costs)","Operation ID (Additional Costs)","Qty (Additional Costs)"
"SE-260725-049","SE-.YY.MM.DD.-.###","Manufacture","Teksons Pvt Ltd","","","Manufacture",0,"WO/260714/0032","","","","","","","","2026-07-25","14:11:08.063265",0,0,0,1,0,"BOM-MS Plate-2-001",4.0,0.0,0.0,"WIP Warehouse - TPL","","","WIP Warehouse - TPL","","","",4.15,4.15,0.0,0.0,"","","","","","","","","No","",0.0,0.0,"","","",0,"8j8kt6qsf6",1.0,"HEX Nut M8*1.25P",4.0,"Nos","Nos",4.0,0.0,"",0,0,4.0,"",4.0,1.0,"","","Main - TPL","HEX Nut M8*1.25P","Stock Adjustment - TPL",0,"",0,0,"To Group","HEX Nut M8*1.25P","","","","","","","",4.0,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,1.0,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8j89dmduqq",1.0,"MS – 1.5 MM Thk",0.148,"Kg","Kg",0.148,0.0,"",0,0,0.15,"",0.15,1.0,"","","Main - TPL","MS – 1.5 MM Thk","Stock Adjustment - TPL",0,"",0,0,"To Group","MS – 1.5 MM Thk","","","","","","","",0.148,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,1.0,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8j8asklc19",1.0,"R215 Ms Plate-2 (144X22X1.5)",4.0,"Nos","Nos",1.0,0.0,"",0,0,4.15,"",4.15,1.0375,"","BOM-MS Plate-2-001","Main - TPL","R215 Ms Plate-2 (144X22X1.5)","Stock Adjustment - TPL",0,"",1,0,"Child Component","R215 Ms Plate-2 (144X22X1.5)","","","","","","","",4.0,"","",0,0,"","","",0,"","","","WIP Warehouse - TPL",0.0,0,1.0375,"","","","","","","","","","",""
"SE-260725-048","SE-.YY.MM.DD.-.###","Manufacture","Teksons Pvt Ltd","","","Manufacture",0,"WO/260714/0005","","","","","","","","2026-07-25","14:10:58.862003",0,0,0,1,0,"BOM-R215 CAC Core End Plate 5X140X941-001",4.0,0.0,0.0,"WIP Warehouse - TPL","","","WIP Warehouse - TPL","","","",4.0,4.0,0.0,0.0,"","","","","","","","","No","",0.0,0.0,"","","",0,"8gc00se4ed",1.0,"R215 CAC Core End Plate 5X165X941",4.0,"Nos","Nos",9.0,0.0,"",0,0,4.0,"",4.0,1.0,"","","Main - TPL","R215 CAC Core End Plate 5X165X941","Stock Adjustment - TPL",0,"",0,0,"Child Component","R215 CAC Core End Plate 5X165X941","","","","","","","",4.0,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,1.0,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8gcci883cg",1.0,"R215 CAC Core End Plate 5X140X941",4.0,"Nos","Nos",1.0,0.0,"",0,0,4.0,"",4.0,1.0,"","BOM-R215 CAC Core End Plate 5X140X941-001","Main - TPL","CAC Core End Plate 5*140*941","Stock Adjustment - TPL",0,"",1,0,"Child Component","R215 CAC Core End Plate 5X140X941","","","","","","","",4.0,"","",0,0,"","","",0,"","","","WIP Warehouse - TPL",0.0,0,1.0,"","","","","","","","","","",""
"SE-260725-047","SE-.YY.MM.DD.-.###","Manufacture","Teksons Pvt Ltd","","","Manufacture",0,"WO/260714/0070","","","","","","","","2026-07-25","14:10:48.924515",0,0,0,1,0,"BOM-Nut Cover for Condenser Mounting 43*30.3*1-001",8.0,0.0,0.0,"WIP Warehouse - TPL","","","WIP Warehouse - TPL","","","",0.08,0.08,0.0,0.0,"","","","","","","","","No","",0.0,0.0,"","","",0,"8d8c43iked",1.0,"MS – 1 MM Thk",0.08,"Kg","Kg",0.08,0.0,"",0,0,0.08,"",0.08,1.0,"","","Main - TPL","MS – 1 MM Thk","Stock Adjustment - TPL",0,"",0,0,"To Group","MS – 1 MM Thk","","","","","","","",0.08,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,1.0,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8d8u4dqu2r",1.0,"Nut Cover for Condenser Mounting 43*30.3*1",8.0,"Nos","Nos",2.0,0.0,"",0,0,0.08,"",0.08,0.01,"","BOM-Nut Cover for Condenser Mounting 43*30.3*1-001","Main - TPL","Nut Cover for Condenser Mounting 43*30.3*1","Stock Adjustment - TPL",0,"",1,0,"Child Component","Nut Cover for Condenser Mounting 43*30.3*1","","","","","","","",8.0,"","",0,0,"","","",0,"","","","WIP Warehouse - TPL",0.0,0,0.01,"","","","","","","","","","",""
"SE-260725-046","SE-.YY.MM.DD.-.###","Manufacture","Teksons Pvt Ltd","","","Manufacture",0,"WO/260714/0039","","","","","","","","2026-07-25","14:10:40.905432",0,0,0,1,0,"BOM-R215 OC Core End Plate 5X140X1021-002",4.0,0.0,0.0,"WIP Warehouse - TPL","","","WIP Warehouse - TPL","","","",7.9,7.9,0.0,0.0,"","","","","","","","","No","",0.0,0.0,"","","",0,"8aoav7aimd",1.0,"R215 OC Core End Plate 5X165X1021",4.0,"Nos","Nos",5.0,0.0,"",0,0,7.9,"",7.9,1.975,"","","Main - TPL","R215 OC Core End Plate 5X165X1021","Stock Adjustment - TPL",0,"",0,0,"Child Component","R215 OC Core End Plate 5X165X1021","","","","","","","",4.0,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,1.975,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8ao2gbndso",1.0,"R215 OC Core End Plate 5X140X1021",4.0,"Nos","Nos",1.0,0.0,"",0,0,7.9,"",7.9,1.975,"","BOM-R215 OC Core End Plate 5X140X1021-002","Main - TPL","OC Core End Plate 5*140*1021","Stock Adjustment - TPL",0,"",1,0,"Child Component","R215 OC Core End Plate 5X140X1021","","","","","","","",4.0,"","",0,0,"","","",0,"","","","WIP Warehouse - TPL",0.0,0,1.975,"","","","","","","","","","",""
"SE-260725-045","SE-.YY.MM.DD.-.###","Manufacture","Teksons Pvt Ltd","","","Manufacture",0,"WO/260714/0033","","","","","","","","2026-07-25","14:10:31.767911",0,0,0,1,0,"BOM-MS Plate-1-001",4.0,0.0,0.0,"WIP Warehouse - TPL","","","WIP Warehouse - TPL","","","",4.1,4.1,0.0,0.0,"","","","","","","","","No","",0.0,0.0,"","","",0,"87tmk2ppck",1.0,"MS – 1.5MM Thk",0.104,"Kg","Kg",0.104,0.0,"",0,0,0.1,"",0.1,1.0,"","","Main - TPL","MS – 1.5MM Thk","Stock Adjustment - TPL",0,"",0,0,"To Group","MS – 1.5MM Thk","","","","","","","",0.104,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,1.0,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87t2uj1vte",1.0,"HEX Nut M8*1.25P",4.0,"Nos","Nos",8.0,0.0,"",0,0,4.0,"",4.0,1.0,"","","Main - TPL","HEX Nut M8*1.25P","Stock Adjustment - TPL",0,"",0,0,"To Group","HEX Nut M8*1.25P","","","","","","","",4.0,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,1.0,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87tshq5aa2",1.0,"R215 Ms Plate-1(102X22X1.5)",4.0,"Nos","Nos",1.0,0.0,"",0,0,4.1,"",4.1,1.025,"","BOM-MS Plate-1-001","Main - TPL","R215 Ms Plate-1(102X22X1.5)","Stock Adjustment - TPL",0,"",1,0,"Child Component","R215 Ms Plate-1(102X22X1.5)","","","","","","","",4.0,"","",0,0,"","","",0,"","","","WIP Warehouse - TPL",0.0,0,1.025,"","","","","","","","","","",""
"SE-260725-044","SE-.YY.MM.DD.-.###","Manufacture","Teksons Pvt Ltd","","","Manufacture",0,"WO/260714/0020","","","","","","","","2026-07-25","14:05:41.859753",0,0,0,1,0,"BOM-CAC Bottom Tank Sub Assy-001",4.0,0.0,0.0,"WIP Warehouse - TPL","","","WIP Warehouse - TPL","","","",26.24,26.24,0.0,0.0,"","","","","","","","","No","",0.0,0.0,"","","",0,"5d9cm3ffli",1.0,"R215 CAC Inlet and Outlet Pipe",4.0,"Nos","Nos",9.0,0.0,"",0,0,1.76,"",1.76,0.439375,"","","Main - TPL","CAC Inlet and Outlet Pipe","Stock Adjustment - TPL",0,"",0,0,"To Group","R215 CAC Inlet and Outlet Pipe","","","","","","","",4.0,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,0.439375,"","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5d95tedalr",1.0,"Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001",8.0,"Nos","Nos",14.0,0.0,"",0,0,1.24,"",1.24,0.155,"","","Main - TPL","Tank end plate for extrusion No  0239C-ALU-2-0001","Stock Adjustment - TPL",0,"",0,0,"Child Component","Tank End Plate 101.5*96*5 for Extrusion No 0239C-ALU-2-0001","","","","","","","",8.0,"","",0,0,"","","",0,"WIP Warehouse - TPL","","","",0.0,0,0.155,"","","","","","","","","","",""
