bom_name,item_code,item_name,quantity,company,creation,total_items,total_operations,bom_items_json,operations_json
BOM-R215 RAD Top Tank Sub Assy-001,R215 RAD Top Tank Sub Assy,R215 RAD Top Tank Sub Assy,1.0,Teksons Pvt Ltd,2026-07-13 17:29:47.598848,5,1,"[{""item_code"": ""Tank End Plate 97*62*5"", ""item_name"": ""Tank End Plate 97*62*5"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Filler Neck 14PSI"", ""item_name"": ""Filler Neck 14PSI"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Filler Neck Over Flow Pipe"", ""item_name"": ""Filler Neck Over Flow Pipe"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 RAD Inlet and Outlet Pipe"", ""item_name"": ""RAD Inlet and Outlet Pipe"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 RAD Top Tank"", ""item_name"": ""RAD Top Tank"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Tank Assembly"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-OC Inlet & Outlet Block 101X66X30-001,OC Inlet & Outlet Block 101X66X30,OC Inlet & Outlet Block 101X66X30,1.0,Teksons Pvt Ltd,2026-07-11 13:37:08.728674,2,2,"[{""item_code"": ""Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )"", ""item_name"": ""Aluminium Extrusion No 398C-ALU-2-0027 ( 101*66*33 )"", ""qty"": 0.487, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Helicoil Insert M10 X 1.5 X 15 Mm"", ""item_name"": ""Helicoil Insert"", ""qty"": 4.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Size Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}, {""sequence_id"": 2, ""operation"": ""Helicoil Insert"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 OC Top Tank-002,R215 OC Top Tank,R215 OC Top Tank,1.0,Teksons Pvt Ltd,2026-07-11 13:31:07.802979,2,1,"[{""item_code"": ""Helicoil Insert M10 X 1.5 X 15 Mm"", ""item_name"": ""Helicoil Insert"", ""qty"": 6.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 OC Top & Bottom Tank 70x113x7.5x377LG"", ""item_name"": ""R215 OC Top & Bottom Tank 70x113x7.5x377LG"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Helicoil Insert"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 OC Bottom Tank-002,R215 OC Bottom Tank,R215 OC Bottom Tank,1.0,Teksons Pvt Ltd,2026-07-11 13:29:30.931790,2,1,"[{""item_code"": ""R215 OC Top & Bottom Tank 70x113x7.5x377LG"", ""item_name"": ""R215 OC Top & Bottom Tank 70x113x7.5x377LG"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Helicoil Insert M10 X 1.5 X 15 Mm"", ""item_name"": ""Helicoil Insert"", ""qty"": 6.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Helicoil Insert"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Spacer Bar 10x15x110-001,Spacer Bar 10x15x110,Spacer bar 10x15x110,1.0,Teksons Pvt Ltd,2026-07-11 12:49:26.461234,1,1,"[{""item_code"": ""Spacer Bar 10 X 15 X 2115, Imported"", ""item_name"": ""Spacer Bar 10 X 15 X 2115, Imported"", ""qty"": 0.045, ""uom"": ""Kg"", ""source_warehouse"": """", ""allow_alternative_item"": 1}]","[{""sequence_id"": 1, ""operation"": ""Bar Cutting"", ""workstation"": ""Bar_Circular Saw Machine"", ""plant_floor"": ""Ralu In"", ""wip_warehouse"": ""WIP-Ralu In - TPL"", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 RAD Top and Bottom Tank-001,R215 RAD Top and Bottom Tank,R215 RAD Top and Bottom Tank,1.0,Teksons Pvt Ltd,2026-07-11 12:34:57.975757,1,1,"[{""item_code"": ""Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG"", ""item_name"": ""Aluminium Extrusion No 0253OC-ALU-2-0005 70(H)*113(W)*7.5(T)*345LG"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Size Cutting"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Rad Bottom Tank Sub Assy-002,R215 RAD Bottom Tank Sub Assy,Rad Bottom Tank Sub Assy,1.0,Teksons Pvt Ltd,2026-07-11 10:40:34.157810,3,1,"[{""item_code"": ""R215 RAD Bottom Tank"", ""item_name"": ""Rad Bottom Tank"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""R215 RAD Inlet and Outlet Pipe"", ""item_name"": ""RAD Inlet and Outlet Pipe"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Tank End Plate 97*62*5"", ""item_name"": ""Tank End Plate 97*62*5"", ""qty"": 2.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Tank Assembly"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Rad Bottom Tank-002,R215 RAD Bottom Tank,Rad Bottom Tank,1.0,Teksons Pvt Ltd,2026-07-11 10:38:31.995087,2,1,"[{""item_code"": ""R215 RAD Top and Bottom Tank"", ""item_name"": ""RAD Top & Bottom Tank"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}, {""item_code"": ""Helicoil Insert M10 X 1.5 X 15 Mm"", ""item_name"": ""Helicoil Insert"", ""qty"": 4.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Helicoil Insert"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-Tank End Plate 97*62*5-001,Tank End Plate 97*62*5,Tank End Plate 97*62*5,6.0,Teksons Pvt Ltd,2026-07-10 19:57:24.717624,1,1,"[{""item_code"": ""Tank End Plate 70*5*595"", ""item_name"": ""Tank End Plate 70*5*595"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Blanking"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
BOM-R215 RAD Core End Plate2.5X110X1021-001,R215 RAD Core End Plate2.5X110X1021,R215 RAD Core End Plate2.5X110X1021,1.0,Teksons Pvt Ltd,2026-07-10 19:12:31.002618,1,1,"[{""item_code"": ""R215 OC and RAD Core End Plate2.5X110X1021"", ""item_name"": ""R215 OC and RAD Core End Plate2.5X110X1021"", ""qty"": 1.0, ""uom"": ""Nos"", ""source_warehouse"": """", ""allow_alternative_item"": 0}]","[{""sequence_id"": 1, ""operation"": ""Sr. No. Punching"", ""workstation"": """", ""plant_floor"": """", ""wip_warehouse"": """", ""hour_rate"": 0, ""time_in_mins"": 1.0}]"
