Item Code,From Warehouse,To (WIP),WO Qty Needed,Already in WIP,Shortage
0261Oc-Alu-2-004,BOF Stores - TPL,WIP-Ralu Weld - TPL,1,0,1
Bottom Foam,BOF Stores - TPL,WIP-Ralu Weld - TPL,2,0,2
C Clamp Spacer,BOF Stores - TPL,WIP-Ralu Weld - TPL,12,0,12
Drain Plug,BOF Stores - TPL,WIP-Ralu Weld - TPL,1,0,1
Drain Plug,BOF Stores - TPL,WIP-Ralu Weld - TPL,1,0,1
EPDM Drain Hose,BOF Stores - TPL,WIP-Ralu Weld - TPL,1,0,1
Filler Neck 14PSI,BOF Stores - TPL,WIP-Ralu Weld - TPL,1,0,1
Filler Neck Over Flow Pipe,BOF Stores - TPL,WIP-Ralu Weld - TPL,1,0,1
Foam,BOF Stores - TPL,WIP-Ralu Weld - TPL,1,0,1
Foam for CAC,BOF Stores - TPL,WIP-Ralu Weld - TPL,2,0,2
Foam for gap B/W Cooler and F/C,BOF Stores - TPL,WIP-Ralu Weld - TPL,2,0,2
Foam for OIL Cooler,BOF Stores - TPL,WIP-Ralu Weld - TPL,2,0,2
Helicoil Insert M 12 X 1.75 X 18Mm,BOF Stores - TPL,WIP-CNC - TPL,2,0,2
Helicoil Insert M10 X 1.5 X 15 Mm,BOF Stores - TPL,WIP-CNC - TPL,4,0,4
Helicoil Insert M10 X 1.5 X 15 Mm,BOF Stores - TPL,WIP-CNC - TPL,4,0,4
Helicoil Insert M10 X 1.5 X 15 Mm,BOF Stores - TPL,WIP-Ralu Weld - TPL,6,0,6
Helicoil Insert M10 X 1.5 X 15 Mm,BOF Stores - TPL,WIP-CNC - TPL,8,0,8
Helicoil Insert M10 X 1.5 X 15 Mm,BOF Stores - TPL,WIP-Ralu Weld - TPL,4,0,4
Helicoil Insert M10 X 1.5 X 15 Mm,BOF Stores - TPL,WIP-Ralu Weld - TPL,4,0,4
Helicoil Insert M8 X 1.25 X 16Mm (2 D),BOF Stores - TPL,WIP-CNC - TPL,4,0,4
HEX Head Bolt M10*1.5P*30LG,BOF Stores - TPL,WIP-Ralu Weld - TPL,28,0,28
HEX Head Bolt M8*1.25P*25LG,BOF Stores - TPL,WIP-Ralu Weld - TPL,18,0,18
